DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
240115578,07/28/2024 12:00:00 AM,07/28/2024 12:00:00 AM,0700,01,Central,0119,2,888,TRESPASSING,0910,0,X,X,834,LA UNION STATION (NOT LINE SPECIFIC),,,IC,Invest Cont,888,,,,800 N  ALAMEDA                      ST,,34.0561,-118.2375
240110620,04/23/2024 12:00:00 AM,04/12/2024 12:00:00 AM,2200,01,Central,0139,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,4,M,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,E  3RD                          ST,S  ALAMEDA                      ST,34.0455,-118.2381
240115629,07/29/2024 12:00:00 AM,07/20/2024 12:00:00 AM,0945,01,Central,0182,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0394,28,F,C,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,440,,,,900 S  HILL                         ST,,34.042,-118.2625
240118368,09/12/2024 12:00:00 AM,09/11/2024 12:00:00 AM,1015,01,Central,0111,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0385 1300 0329,68,F,C,707,GARAGE/CARPORT,,,IC,Invest Cont,331,,,,600 N  GRAND                        AV,,34.0607,-118.2435
240104431,01/06/2024 12:00:00 AM,01/06/2024 12:00:00 AM,0510,01,Central,0195,1,320,"BURGLARY, ATTEMPTED",1309 0329 1609,44,F,O,418,,,,IC,Invest Cont,320,,,,1600 S  HILL                         ST,,34.0347,-118.2646
240110958,05/01/2024 12:00:00 AM,05/01/2024 12:00:00 AM,2330,01,Central,0133,2,888,TRESPASSING,0910 1501,0,X,X,135,MTA PROPERTY OR PARKING LOT,,,IC,Invest Cont,888,,,,200 S  BROADWAY,,34.0524,-118.2467
240114101,07/05/2024 12:00:00 AM,07/05/2024 12:00:00 AM,0852,01,Central,0153,2,888,TRESPASSING,0910,0,X,X,902,MTA - RED LINE - PERSHING SQUARE,,,IC,Invest Cont,888,,,,500 S  HILL                         ST,,34.0488,-118.2518
240100702,05/27/2024 12:00:00 AM,05/27/2024 12:00:00 AM,0620,01,Central,0152,2,888,TRESPASSING,2004 0910,0,X,X,903,MTA - RED LINE - 7TH AND METRO CENTER,,,IC,Invest Cont,888,,,,600 S  FIGUEROA                     ST,,34.0508,-118.2586
240109066,03/15/2024 12:00:00 AM,03/14/2024 12:00:00 AM,1420,01,Central,0182,1,330,BURGLARY FROM VEHICLE,1307 0344 1300,22,F,W,707,GARAGE/CARPORT,,,IC,Invest Cont,330,,,,900 S  OLIVE                        ST,,34.0437,-118.2582
240105632,01/23/2024 12:00:00 AM,01/21/2024 12:00:00 AM,1415,01,Central,0119,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300,25,F,O,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,800 N  ALAMEDA                      ST,,34.0561,-118.2375
